COVID19-CASES

TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Deaths_1M_pop,FirstCase,Country,Serious_Critical,TotCases_1M_Pop
"137,943","+14,365","2,431","+211","4,430","131,082","7","Jan 20","USA","2,948","417"
"97,689","+5,217","10,779","+756","13,030","73,880","178","Jan 29","Italy","3,906","1,616"
"78,898","+5,663","6,618","+636","14,709","57,571","142","Jan 30","Spain","4,165","1,687"
"61,164","+3,469","490","+57","9,211","51,463","6","Jan 26","Germany","1,979","730"
"40,174","+2,599","2,606","+292","7,202","30,366","40","Jan 23","France","4,632","615"
"38,309","+2,901","2,640","+123","12,391","23,278","31","Feb 18","Iran","3,206","456"
"19,522","+2,433","1,228","+209","135","18,159","18","Jan 30","UK","163","288"
"14,829","+753","300","+36","1,595","12,934","35","Feb 24","Switzerland","301","1,713"
"10,866","+1,104","771","+132","250","9,845","45","Feb 26","Netherlands","972","634"
"10,836","+1,702","431","+78","1,359","9,046","37","Feb 03","Belgium","867","935"
"9,583","+105","152","+8","5,033","4,398","3","Jan 19","S. Korea","59","187"
"9,217","+1,815","131","+23","105","8,981","2","Mar 09","Turkey","568","109"
"8,743","+472","86","+18","479","8,178","10","Feb 24","Austria","187","971"
"6,258","+603","63","+3","508","5,687","2","Jan 24","Canada","120","166"
"5,962","+792","119","+19","43","5,800","12","Mar 01","Portugal","89","585"
"4,265","+250","25","+2","7","4,233","5","Feb 25","Norway","91","787"
"4,247","+628","15","+3","132","4,100","2","Feb 20","Israel","74","491"
"4,065","+161","118","+4","6","3,941","0.6","Feb 24","Brazil","296","19"
"3,980","+345","16","+2","226","3,738","0.6","Jan 24","Australia","23","156"
"3,700","+253","110","+5","16","3,574","11","Jan 30","Sweden","255","366"
"2,743","+112","16","+5","11","2,716","1","Feb 29","Czechia","45","256"
"2,615","+200","46","+10","5","2,564","9","Feb 28","Ireland","59","530"
"2,470","+150","35","+8","388","2,047","1","Jan 24","Malaysia","73","76"
"2,395","+194","72","+7","1","2,322","12","Feb 26","Denmark","113","413"
"2,139","+230","7","+1","75","2,057","0.4","Mar 02","Chile","7","112"
"1,950","+119","21","+3","40","1,889","34","Feb 28","Luxembourg","25","3,115"
"1,890","+67","57","+9","3","1,830","3","Feb 28","Ecuador","58","107"
"1,866","+173","54","+2","424","1,388","0.4","Jan 14","Japan","56","15"
"1,862","+224","22","+4","7","1,833","0.6","Mar 03","Poland","3","49"
"1,760","+308","43","+6","206","1,511","2","Feb 25","Romania","31","91"
"1,571","+76","14","+2","29","1,528","0.06","Feb 25","Pakistan","11","7"
"1,534","+270","8","+4","64","1,462","0.05","Jan 30","Russia","8","11"
